"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2020","375,700","370,500","380,700","370,500","16.12K","1.40%"
"07/28/2020","370,500","376,600","381,200","370,500","25.36K","-1.72%"
"07/27/2020","377,000","366,500","377,000","366,500","62.38K","2.86%"
"07/26/2020","366,500","361,000","374,600","357,800","21.37K","1.52%"
"07/25/2020","361,000","331,800","361,000","331,800","47.49K","8.80%"
"07/24/2020","331,800","325,000","331,800","321,200","36.28K","2.19%"
"07/23/2020","324,700","311,900","324,700","311,900","39.33K","4.14%"
"07/22/2020","311,800","291,000","311,800","289,800","43.17K","7.15%"
"07/21/2020","291,000","281,800","291,000","281,800","13.52K","3.26%"
"07/20/2020","281,800","283,700","283,700","281,800","11.47K","-0.67%"
"07/19/2020","283,700","280,200","283,700","279,000","8.14K","1.21%"
"07/18/2020","280,300","278,000","280,300","278,000","5.35K","0.83%"
"07/17/2020","278,000","279,500","279,500","278,000","4.80K","-0.54%"
"07/16/2020","279,500","284,700","284,700","279,500","6.47K","-1.83%"
"07/15/2020","284,700","285,800","285,800","284,600","8.04K","-0.38%"
"07/14/2020","285,800","285,100","285,800","285,000","9.08K","0.25%"
"07/13/2020","285,100","287,600","289,600","285,100","13.59K","-0.87%"
"07/12/2020","287,600","284,100","287,600","282,300","10.00K","1.23%"
"07/11/2020","284,100","286,400","286,400","284,100","4.24K","-0.80%"
"07/10/2020","286,400","287,400","287,400","284,500","8.41K","-0.35%"
"07/09/2020","287,400","291,100","292,400","287,400","14.08K","-1.27%"
"07/08/2020","291,100","283,600","291,100","283,600","14.29K","2.64%"
"07/07/2020","283,600","285,600","285,600","280,800","11.65K","-0.70%"
"07/06/2020","285,600","271,600","285,600","271,500","18.31K","5.12%"
"07/05/2020","271,700","273,000","273,600","268,100","6.69K","-0.48%"
"07/04/2020","273,000","269,000","275,000","268,600","7.48K","1.41%"
"07/03/2020","269,200","270,700","272,900","268,600","6.34K","-0.55%"
"07/02/2020","270,700","276,000","277,300","268,200","11.82K","-1.92%"
"07/01/2020","276,000","269,200","277,900","268,100","15.85K","2.53%"
"06/30/2020","269,200","272,200","273,300","267,100","7.33K","-1.10%"
"06/29/2020","272,200","270,400","274,400","265,600","13.93K","0.52%"
"06/28/2020","270,800","267,500","274,500","262,200","12.96K","1.16%"
"06/27/2020","267,700","276,300","277,700","264,200","27.25K","-3.11%"
"06/26/2020","276,300","280,000","280,600","274,400","10.27K","-1.32%"
"06/25/2020","280,000","283,000","283,600","273,900","8.23K","-1.06%"
"06/24/2020","283,000","290,300","297,500","279,100","23.10K","-2.48%"
"06/23/2020","290,200","291,100","293,200","288,400","7.39K","-0.31%"
"06/22/2020","291,100","275,500","294,600","275,500","26.87K","5.66%"
"06/21/2020","275,500","276,800","279,000","274,900","7.22K","-0.47%"
"06/20/2020","276,800","277,800","278,800","274,100","5.46K","-0.36%"
"06/19/2020","277,800","279,500","279,900","273,400","6.62K","-0.61%"
"06/18/2020","279,500","282,500","283,400","275,500","10.12K","-1.06%"
