"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 15","37,099,000","36,754,000","37,193,000","36,682,000","1.48K","0.92%"
"2023- 10- 14","36,759,000","36,929,000","37,131,000","36,645,000","1.56K","-0.46%"
"2023- 10- 13","36,930,000","36,716,000","37,169,000","36,707,000","1.60K","0.56%"
"2023- 10- 12","36,725,000","36,677,000","36,742,000","36,353,000","0.78K","0.11%"
"2023- 10- 11","36,684,000","37,341,000","37,367,000","36,250,000","0.91K","-1.76%"
"2023- 10- 10","37,341,000","37,606,000","37,790,000","37,255,000","0.92K","-0.69%"
"2023- 10- 09","37,599,000","37,942,000","38,080,000","37,255,000","0.61K","-0.90%"
"2023- 10- 08","37,942,000","37,939,000","38,130,000","37,667,000","1.80K","0.01%"
"2023- 10- 07","37,939,000","37,826,000","38,010,000","37,739,000","0.65K","0.30%"
"2023- 10- 06","37,826,000","37,237,000","38,105,000","37,034,000","0.42K","1.58%"
"2023- 10- 05","37,237,000","37,618,000","38,070,000","37,205,000","0.33K","-1.01%"
"2023- 10- 04","37,618,000","37,246,000","37,738,000","37,048,000","0.25K","1.00%"
"2023- 10- 03","37,246,000","37,417,000","37,814,000","37,000,000","0.29K","-0.46%"
"2023- 10- 02","37,417,000","37,800,000","38,723,000","37,276,000","0.46K","-0.94%"
"2023- 10- 01","37,771,000","36,598,000","37,800,000","36,566,000","0.40K","3.21%"
"2023- 09- 30","36,598,000","36,442,000","36,708,000","36,398,000","0.15K","0.43%"
"2023- 09- 29","36,442,000","36,608,000","36,872,000","36,242,000","0.16K","-0.45%"
"2023- 09- 28","36,608,000","35,984,000","36,977,000","35,929,000","0.39K","1.74%"
"2023- 09- 27","35,983,000","35,530,000","36,439,000","35,529,000","0.20K","1.27%"
"2023- 09- 26","35,530,000","35,448,000","35,760,000","35,349,000","0.42K","0.23%"
"2023- 09- 25","35,449,000","35,524,000","35,652,000","35,104,000","0.15K","-0.23%"
"2023- 09- 24","35,529,000","35,939,000","36,050,000","35,473,000","0.24K","-1.14%"
"2023- 09- 23","35,939,000","35,931,000","35,973,000","35,864,000","0.11K","0.07%"
"2023- 09- 22","35,915,000","35,972,000","36,073,000","35,845,000","0.25K","-0.16%"
"2023- 09- 21","35,973,000","36,506,000","36,619,000","35,748,000","0.31K","-1.46%"
"2023- 09- 20","36,506,000","36,473,000","36,702,000","36,090,000","0.24K","0.09%"
"2023- 09- 19","36,473,000","35,942,000","36,789,000","35,730,000","0.28K","1.46%"
"2023- 09- 18","35,948,000","35,743,000","36,781,000","35,626,000","0.30K","0.57%"
"2023- 09- 17","35,743,000","35,934,000","35,956,000","35,655,000","0.20K","-0.53%"
"2023- 09- 16","35,933,000","35,880,000","36,017,000","35,659,000","0.14K","0.15%"
"2023- 09- 15","35,880,000","35,828,000","36,172,000","35,518,000","0.24K","0.15%"
"2023- 09- 14","35,828,000","35,456,000","36,222,000","35,337,000","0.31K","1.05%"
"2023- 09- 13","35,456,000","35,017,000","35,754,000","34,945,000","0.50K","1.30%"
"2023- 09- 12","35,001,000","34,277,000","35,834,000","34,244,000","0.39K","2.11%"
"2023- 09- 11","34,279,000","35,180,000","35,200,000","34,021,000","0.51K","-2.56%"
"2023- 09- 10","35,180,000","35,231,000","35,388,000","34,994,000","0.24K","-0.14%"
"2023- 09- 09","35,231,000","35,222,000","35,281,000","35,126,000","0.11K","0.02%"
"2023- 09- 08","35,224,000","35,616,000","35,800,000","35,000,000","0.17K","-1.10%"
"2023- 09- 07","35,616,000","34,965,000","35,818,000","34,845,000","0.33K","1.82%"
"2023- 09- 06","34,978,000","35,029,000","35,200,000","34,636,000","0.28K","-0.12%"
"2023- 09- 05","35,019,000","34,951,000","35,125,000","34,730,000","0.18K","0.19%"
"2023- 09- 04","34,951,000","35,246,000","35,333,000","34,801,000","0.32K","-0.84%"
"2023- 09- 03","35,246,000","35,142,000","35,394,000","35,080,000","0.09K","0.30%"
"2023- 09- 02","35,142,000","35,319,000","35,466,000","34,999,000","0.34K","-0.50%"
"2023- 09- 01","35,319,000","35,442,000","35,610,000","34,863,000","1.03K","-0.35%"
"2023- 08- 31","35,442,000","37,022,000","37,300,000","35,317,000","0.97K","-4.27%"
"2023- 08- 30","37,023,000","37,355,000","37,472,000","36,600,000","0.50K","-0.89%"
"2023- 08- 29","37,354,000","35,268,000","37,849,000","35,077,000","1.05K","5.91%"
"2023- 08- 28","35,268,000","35,355,000","35,499,000","35,010,000","0.24K","-0.25%"
"2023- 08- 27","35,355,000","35,351,000","35,480,000","35,300,000","0.15K","0.01%"
"2023- 08- 26","35,351,000","35,425,000","35,498,000","35,317,000","0.13K","-0.21%"
"2023- 08- 25","35,425,000","35,558,000","35,700,000","35,107,000","0.40K","-0.37%"
"2023- 08- 24","35,558,000","35,888,000","35,982,000","35,218,000","0.41K","-0.95%"
"2023- 08- 23","35,899,000","35,659,000","36,276,000","35,235,000","0.60K","0.69%"
"2023- 08- 22","35,652,000","35,739,000","35,814,000","35,035,000","0.58K","-0.24%"
"2023- 08- 21","35,739,000","35,933,000","35,933,000","35,421,000","0.30K","-0.54%"
"2023- 08- 20","35,933,000","36,033,000","36,197,000","35,720,000","0.21K","-0.25%"
"2023- 08- 19","36,023,000","35,876,000","36,219,000","35,557,000","0.38K","0.41%"
"2023- 08- 18","35,876,000","36,602,000","36,820,000","35,341,000","0.68K","-1.97%"
"2023- 08- 17","36,596,000","38,984,000","39,025,000","36,156,000","1.83K","-6.13%"
"2023- 08- 16","38,984,000","39,399,000","39,553,000","38,984,000","0.61K","-1.05%"
"2023- 08- 15","39,399,000","39,264,000","39,577,000","39,213,000","0.51K","0.34%"
"2023- 08- 14","39,264,000","39,082,000","39,625,000","38,868,000","0.29K","0.45%"
"2023- 08- 13","39,089,000","39,280,000","39,290,000","39,082,000","0.22K","-0.46%"
"2023- 08- 12","39,269,000","39,227,000","39,290,000","39,141,000","0.09K","0.13%"
"2023- 08- 11","39,217,000","39,087,000","39,338,000","39,010,000","0.16K","0.35%"
"2023- 08- 10","39,080,000","39,204,000","39,349,000","38,960,000","0.20K","-0.32%"
"2023- 08- 09","39,204,000","39,438,000","39,800,000","39,017,000","0.34K","-0.59%"
"2023- 08- 08","39,438,000","38,603,000","39,881,000","38,572,000","0.60K","2.16%"
"2023- 08- 07","38,603,000","38,595,000","38,700,000","38,080,000","0.60K","-0.01%"
"2023- 08- 06","38,606,000","38,480,000","38,734,000","38,423,000","0.20K","0.33%"
"2023- 08- 05","38,480,000","38,495,000","38,531,000","38,361,000","0.16K","-0.04%"
"2023- 08- 04","38,495,000","38,442,000","38,704,000","38,326,000","0.32K","0.14%"
"2023- 08- 03","38,442,000","38,330,000","38,724,000","38,213,000","0.31K","0.31%"
"2023- 08- 02","38,324,000","38,629,000","39,125,000","38,150,000","0.48K","-0.84%"
"2023- 08- 01","38,650,000","37,935,000","38,657,000","37,441,000","0.46K","1.88%"
"2023- 07- 31","37,935,000","37,895,000","38,112,000","37,756,000","0.31K","0.13%"
"2023- 07- 30","37,885,000","37,893,000","38,109,000","37,734,000","0.32K","-0.02%"
"2023- 07- 29","37,892,000","37,952,000","38,010,000","37,870,000","0.11K","-0.16%"
"2023- 07- 28","37,952,000","37,855,000","38,190,000","37,681,000","0.17K","0.24%"
"2023- 07- 27","37,862,000","37,906,000","38,229,000","37,804,000","0.34K","-0.14%"
"2023- 07- 26","37,915,000","37,900,000","38,281,000","37,708,000","0.52K","0.04%"
"2023- 07- 25","37,900,000","37,910,000","38,101,000","37,605,000","0.27K","-0.01%"
"2023- 07- 24","37,904,000","38,989,000","39,013,000","37,700,000","0.36K","-2.78%"
"2023- 07- 23","38,989,000","38,781,000","39,219,000","38,624,000","0.29K","0.54%"
"2023- 07- 22","38,780,000","38,862,000","38,932,000","38,603,000","0.30K","-0.21%"
